"KEY","freq","ref_area","count_area","cb_rep_sector","bs_count_sector","bs_nfc_activity","cb_sector_size","cb_rep_framewrk","cb_item","cb_portfolio","cb_exp_type","cb_val_method","maturity_res","data_type","currency_trans","unit_measure","time_period","obs_value","obs_status","conf_status","pre_break_value","comment_obs","time_format","breaks","comment_ts","compiling_org","coverage","currency","data_comp","decimals","diss_org","publ_ecb","publ_mu","publ_public","time_per_collect","title","title_compl","unit_mult"
"CBD2.A.NL.W0.11._Z._Z.A.F.I3191._Z._Z._Z._Z._Z._Z.PC","A","NL","W0","11","_Z","_Z","A","F","I3191","_Z","_Z","_Z","_Z","_Z","_Z","PC","2010","1.4810612859300327","E","F",NULL,NULL,"P1Y","FINREP (IFRS + GAAP-FINREP) series from 2014 contain historical data.","Netherlands,counterpart: World (all entities, including reference area, including IO),reporting sector: Domestic banking groups and stand-alone banks,All institutions,FINREP (IFRS and GAAP),Tangible and intangible assets [% of total assets],Not applicable, Percent",NULL,NULL,NULL,"(Tangible assets + Intangible assets) / TOTAL ASSETS","4",NULL,NULL,NULL,NULL,"A","Tangible and intangible assets [% of total assets]",NULL,"0"
"CBD2.A.NL.W0.11._Z._Z.A.F.I3191._Z._Z._Z._Z._Z._Z.PC","A","NL","W0","11","_Z","_Z","A","F","I3191","_Z","_Z","_Z","_Z","_Z","_Z","PC","2011","1.247718205163122","E","F",NULL,NULL,"P1Y","FINREP (IFRS + GAAP-FINREP) series from 2014 contain historical data.","Netherlands,counterpart: World (all entities, including reference area, including IO),reporting sector: Domestic banking groups and stand-alone banks,All institutions,FINREP (IFRS and GAAP),Tangible and intangible assets [% of total assets],Not applicable, Percent",NULL,NULL,NULL,"(Tangible assets + Intangible assets) / TOTAL ASSETS","4",NULL,NULL,NULL,NULL,"A","Tangible and intangible assets [% of total assets]",NULL,"0"
"CBD2.A.NL.W0.11._Z._Z.A.F.I3191._Z._Z._Z._Z._Z._Z.PC","A","NL","W0","11","_Z","_Z","A","F","I3191","_Z","_Z","_Z","_Z","_Z","_Z","PC","2012","1.31346209047873","E","F",NULL,NULL,"P1Y","FINREP (IFRS + GAAP-FINREP) series from 2014 contain historical data.","Netherlands,counterpart: World (all entities, including reference area, including IO),reporting sector: Domestic banking groups and stand-alone banks,All institutions,FINREP (IFRS and GAAP),Tangible and intangible assets [% of total assets],Not applicable, Percent",NULL,NULL,NULL,"(Tangible assets + Intangible assets) / TOTAL ASSETS","4",NULL,NULL,NULL,NULL,"A","Tangible and intangible assets [% of total assets]",NULL,"0"
"CBD2.A.NL.W0.11._Z._Z.A.F.I3191._Z._Z._Z._Z._Z._Z.PC","A","NL","W0","11","_Z","_Z","A","F","I3191","_Z","_Z","_Z","_Z","_Z","_Z","PC","2013","1.361339945289328","E","F",NULL,NULL,"P1Y","FINREP (IFRS + GAAP-FINREP) series from 2014 contain historical data.","Netherlands,counterpart: World (all entities, including reference area, including IO),reporting sector: Domestic banking groups and stand-alone banks,All institutions,FINREP (IFRS and GAAP),Tangible and intangible assets [% of total assets],Not applicable, Percent",NULL,NULL,NULL,"(Tangible assets + Intangible assets) / TOTAL ASSETS","4",NULL,NULL,NULL,NULL,"A","Tangible and intangible assets [% of total assets]",NULL,"0"
"CBD2.A.NL.W0.11._Z._Z.A.F.I3191._Z._Z._Z._Z._Z._Z.PC","A","NL","W0","11","_Z","_Z","A","F","I3191","_Z","_Z","_Z","_Z","_Z","_Z","PC","2014",NULL,"Q","F",NULL,NULL,"P1Y","FINREP (IFRS + GAAP-FINREP) series from 2014 contain historical data.","Netherlands,counterpart: World (all entities, including reference area, including IO),reporting sector: Domestic banking groups and stand-alone banks,All institutions,FINREP (IFRS and GAAP),Tangible and intangible assets [% of total assets],Not applicable, Percent",NULL,NULL,NULL,"(Tangible assets + Intangible assets) / TOTAL ASSETS","4",NULL,NULL,NULL,NULL,"A","Tangible and intangible assets [% of total assets]",NULL,"0"
"CBD2.A.NL.W0.11._Z._Z.A.F.I3191._Z._Z._Z._Z._Z._Z.PC","A","NL","W0","11","_Z","_Z","A","F","I3191","_Z","_Z","_Z","_Z","_Z","_Z","PC","2015",NULL,"Q","F",NULL,NULL,"P1Y","FINREP (IFRS + GAAP-FINREP) series from 2014 contain historical data.","Netherlands,counterpart: World (all entities, including reference area, including IO),reporting sector: Domestic banking groups and stand-alone banks,All institutions,FINREP (IFRS and GAAP),Tangible and intangible assets [% of total assets],Not applicable, Percent",NULL,NULL,NULL,"(Tangible assets + Intangible assets) / TOTAL ASSETS","4",NULL,NULL,NULL,NULL,"A","Tangible and intangible assets [% of total assets]",NULL,"0"
"CBD2.A.NL.W0.11._Z._Z.A.F.I3191._Z._Z._Z._Z._Z._Z.PC","A","NL","W0","11","_Z","_Z","A","F","I3191","_Z","_Z","_Z","_Z","_Z","_Z","PC","2016",NULL,"Q","F",NULL,NULL,"P1Y","FINREP (IFRS + GAAP-FINREP) series from 2014 contain historical data.","Netherlands,counterpart: World (all entities, including reference area, including IO),reporting sector: Domestic banking groups and stand-alone banks,All institutions,FINREP (IFRS and GAAP),Tangible and intangible assets [% of total assets],Not applicable, Percent",NULL,NULL,NULL,"(Tangible assets + Intangible assets) / TOTAL ASSETS","4",NULL,NULL,NULL,NULL,"A","Tangible and intangible assets [% of total assets]",NULL,"0"
"CBD2.A.NL.W0.11._Z._Z.A.F.I3191._Z._Z._Z._Z._Z._Z.PC","A","NL","W0","11","_Z","_Z","A","F","I3191","_Z","_Z","_Z","_Z","_Z","_Z","PC","2017",NULL,"Q","F",NULL,NULL,"P1Y","FINREP (IFRS + GAAP-FINREP) series from 2014 contain historical data.","Netherlands,counterpart: World (all entities, including reference area, including IO),reporting sector: Domestic banking groups and stand-alone banks,All institutions,FINREP (IFRS and GAAP),Tangible and intangible assets [% of total assets],Not applicable, Percent",NULL,NULL,NULL,"(Tangible assets + Intangible assets) / TOTAL ASSETS","4",NULL,NULL,NULL,NULL,"A","Tangible and intangible assets [% of total assets]",NULL,"0"
"CBD2.A.NL.W0.11._Z._Z.A.F.I3191._Z._Z._Z._Z._Z._Z.PC","A","NL","W0","11","_Z","_Z","A","F","I3191","_Z","_Z","_Z","_Z","_Z","_Z","PC","2018",NULL,"Q","F",NULL,NULL,"P1Y","FINREP (IFRS + GAAP-FINREP) series from 2014 contain historical data.","Netherlands,counterpart: World (all entities, including reference area, including IO),reporting sector: Domestic banking groups and stand-alone banks,All institutions,FINREP (IFRS and GAAP),Tangible and intangible assets [% of total assets],Not applicable, Percent",NULL,NULL,NULL,"(Tangible assets + Intangible assets) / TOTAL ASSETS","4",NULL,NULL,NULL,NULL,"A","Tangible and intangible assets [% of total assets]",NULL,"0"
"CBD2.A.NL.W0.11._Z._Z.A.F.I3191._Z._Z._Z._Z._Z._Z.PC","A","NL","W0","11","_Z","_Z","A","F","I3191","_Z","_Z","_Z","_Z","_Z","_Z","PC","2019",NULL,"Q","F",NULL,NULL,"P1Y","FINREP (IFRS + GAAP-FINREP) series from 2014 contain historical data.","Netherlands,counterpart: World (all entities, including reference area, including IO),reporting sector: Domestic banking groups and stand-alone banks,All institutions,FINREP (IFRS and GAAP),Tangible and intangible assets [% of total assets],Not applicable, Percent",NULL,NULL,NULL,"(Tangible assets + Intangible assets) / TOTAL ASSETS","4",NULL,NULL,NULL,NULL,"A","Tangible and intangible assets [% of total assets]",NULL,"0"
